ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;price_H;pseudoprice_H;baseprice_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;variantId_2;articleId_2;name_2;keywords_2;metaTitle_2;description_2;descriptionLong_2;additionalText_2;packUnit_2;attr1_2;attr2_2;attr3_2;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle
AD00083;AD00083;"Astrologen, Hellseher";;"MaxxDiscount GmbH & Co. KG";19.00;1746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00084;AD00084;Außenwerbungsunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;3419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00085;AD00085;"Audio-Visuelle Kommunikation";;"MaxxDiscount GmbH & Co. KG";19.00;1520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00086;AD00086;"Aufzüge Großhandel";;"MaxxDiscount GmbH & Co. KG";19.00;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00087;AD00087;"Aufzüge Hersteller";;"MaxxDiscount GmbH & Co. KG";19.00;657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00088;AD00088;Augenärzte;;"MaxxDiscount GmbH & Co. KG";19.00;10779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00089;AD00089;Ausbildungszentren;;"MaxxDiscount GmbH & Co. KG";19.00;13056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00090;AD00090;Auskunfteien;;"MaxxDiscount GmbH & Co. KG";19.00;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00091;AD00091;Ausländer-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00092;AD00092;Ausländerberatungsstellen;;"MaxxDiscount GmbH & Co. KG";19.00;2372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00093;AD00093;Auslandspartnerschafts-Vereine;;"MaxxDiscount GmbH & Co. KG";19.00;3909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00094;AD00094;"Ausstellungs- und Messestandge";;"MaxxDiscount GmbH & Co. KG";19.00;397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00095;AD00095;Ausstellungsservice-Unternehme;;"MaxxDiscount GmbH & Co. KG";19.00;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00096;AD00096;"Aussteuerwaren Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00097;AD00097;"Auto-, Einbrenn- und Industrie";;"MaxxDiscount GmbH & Co. KG";19.00;677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00098;AD00098;Auto-Leasingunternehmen;;"MaxxDiscount GmbH & Co. KG";19.00;268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00099;AD00099;"Auto-Reparaturwerkstätten und ";;"MaxxDiscount GmbH & Co. KG";19.00;15211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00100;AD00100;"Autoanhänger Einzelhandel";;"MaxxDiscount GmbH & Co. KG";19.00;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00101;AD00101;"Autoelektrik Bosch-Dienste";;"MaxxDiscount GmbH & Co. KG";19.00;7039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00102;AD00102;Autoelektrikwerkstätten;;"MaxxDiscount GmbH & Co. KG";19.00;7039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00103;AD00103;Autofahrschulen;;"MaxxDiscount GmbH & Co. KG";19.00;2365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AD00104;AD00104;Autogastankstellen;;"MaxxDiscount GmbH & Co. KG";19.00;1757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
